"Year"," Month","Temperature"
1901,1,-4.790322581
1901,2,-3.167857143
1901,3,4.690322581
1901,4,10.13
1901,5,15.17741935
1901,6,18.85
1901,7,20.98387097
1901,8,19.20967742
1901,9,14.28333333
1901,10,11.19677419
1901,11,2.783333333
1901,12,2.64516129
1902,1,2.451612903
1902,2,0.992857143
1902,3,4.709677419
1902,4,9.626666667
1902,5,11.47741935
1902,6,16.75333333
1902,7,18.09677419
1902,8,18.53225806
1902,9,14.27666667
1902,10,9.451612903
1902,11,1.193333333
1902,12,-2.464516129
1903,1,-3.032258065
1903,2,3.521428571
1903,3,7.270967742
1903,4,7.296666667
1903,5,14.46129032
1903,6,17.13666667
1903,7,19.21612903
1903,8,18.48387097
1903,9,14.36666667
1903,10,10.14193548
1903,11,5.46
1903,12,1.164516129
1904,1,-1.587096774
1904,2,2.993103448
1904,3,5.435483871
1904,4,10.64
1904,5,14.65483871
1904,6,18.36
1904,7,21.47741935
1904,8,19.33870968
1904,9,13.60666667
1904,10,10.10967742
1904,11,3.26
1904,12,1.551612903
1905,1,-3.983870968
1905,2,1.257142857
1905,3,6.183870968
1905,4,8.673333333
1905,5,14.29354839
1905,6,18.89
1905,7,21.56774194
1905,8,20.06451613
1905,9,16.15
1905,10,5.335483871
1905,11,5.156666667
1905,12,1.316129032
1906,1,-0.722580645
1906,2,1.132142857
1906,3,4.770967742
1906,4,10.04333333
1906,5,15.23225806
1906,6,16.85666667
1906,7,19.61290323
1906,8,18.30645161
1906,9,13.70333333
1906,10,9.770967742
1906,11,6.553333333
1906,12,-1.54516129
1907,1,-1.606451613
1907,2,-1.935714286
1907,3,2.683870968
1907,4,7.183333333
1907,5,16.43870968
1907,6,18.82666667
1907,7,18.44516129
1907,8,18.96774194
1907,9,14.68333333
1907,10,13.48064516
1907,11,3.656666667
1907,12,1.683870968
1908,1,-2.674193548
1908,2,1.224137931
1908,3,3.374193548
1908,4,8.403333333
1908,5,17.29032258
1908,6,19.63333333
1908,7,19.48387097
1908,8,17.49032258
1908,9,13.25333333
1908,10,8.448387097
1908,11,-0.423333333
1908,12,-1.212903226
1909,1,-2.483870968
1909,2,-2.617857143
1909,3,3.635483871
1909,4,10.79666667
1909,5,13.39677419
1909,6,17.51666667
1909,7,18.52258065
1909,8,19.33548387
1909,9,15.51666667
1909,10,11.20645161
1909,11,2.873333333
1909,12,1.916129032
1910,1,0.116129032
1910,2,3.521428571
1910,3,5.512903226
1910,4,9.443333333
1910,5,14.25483871
1910,6,18.58333333
1910,7,18.4516129
1910,8,18.57096774
1910,9,13.59
1910,10,10.05806452
1910,11,3.473333333
1910,12,3.896774194
1911,1,-1.077419355
1911,2,-0.321428571
1911,3,5.019354839
1911,4,9.153333333
1911,5,14.40322581
1911,6,17.22333333
1911,7,21.35806452
1911,8,21.33225806
1911,9,16.14
1911,10,9.7
1911,11,7.023333333
1911,12,2.122580645
1912,1,-3.467741935
1912,2,2.496551724
1912,3,7.425806452
1912,4,8.34
1912,5,14.29354839
1912,6,18.65
1912,7,19.67096774
1912,8,17.16774194
1912,9,10.51333333
1912,10,7.651612903
1912,11,1.58
1912,12,1.029032258
1913,1,-2.819354839
1913,2,-0.589285714
1913,3,6.574193548
1913,4,9.933333333
1913,5,13.96774194
1913,6,17.62
1913,7,16.87419355
1913,8,17.4483871
1913,9,14.67
1913,10,10.16451613
1913,11,6.61
1913,12,0.925806452
1914,1,-6.283870968
1914,2,-3.167857143
1914,3,5.906451613
1914,4,11.22333333
1914,5,13.97741935
1914,6,17.12333333
1914,7,18.65806452
1914,8,18.5483871
1914,9,13.72
1914,10,8.838709677
1914,11,2.893333333
1914,12,2.193548387
1915,1,0.412903226
1915,2,1.117857143
1915,3,3.248387097
1915,4,9.57
1915,5,15.41290323
1915,6,19.29333333
1915,7,18.57741935
1915,8,17.02903226
1915,9,12.84666667
1915,10,7.9
1915,11,2.406666667
1915,12,3.7
1916,1,2.590322581
1916,2,0.734482759
1916,3,7.832258065
1916,4,9.686666667
1916,5,15.38064516
1916,6,16.42666667
1916,7,19.50645161
1916,8,18.68387097
1916,9,13.38
1916,10,9.338709677
1916,11,6.096666667
1916,12,3.577419355
1917,1,-1.416129032
1917,2,-4.482142857
1917,3,2.274193548
1917,4,7.236666667
1917,5,15.62580645
1917,6,19.88
1917,7,20.46129032
1917,8,19.95806452
1917,9,16.23333333
1917,10,9.832258065
1917,11,4.343333333
1917,12,-1.990322581
1918,1,0.35483871
1918,2,0.842857143
1918,3,5.003225806
1918,4,11.92333333
1918,5,14.91612903
1918,6,15.46333333
1918,7,18.83870968
1918,8,17.84193548
1918,9,15.61
1918,10,9.364516129
1918,11,3.18
1918,12,2.358064516
1919,1,1.425806452
1919,2,-1.442857143
1919,3,4.970967742
1919,4,7.51
1919,5,10.90967742
1919,6,16.52333333
1919,7,17.21290323
1919,8,18.1483871
1919,9,15.93333333
1919,10,8.164516129
1919,11,3.08
1919,12,0.667741935
1920,1,1.993548387
1920,2,2.748275862
1920,3,7.125806452
1920,4,12.15666667
1920,5,15.96129032
1920,6,16.42333333
1920,7,19.94193548
1920,8,17.21290323
1920,9,15.01
1920,10,6.625806452
1920,11,-0.016666667
1920,12,-0.051612903
1921,1,3.038709677
1921,2,0.046428571
1921,3,4.883870968
1921,4,7.723333333
1921,5,15.42903226
1921,6,16.17333333
1921,7,20.39032258
1921,8,19.36129032
1921,9,14.13666667
1921,10,10.84193548
1921,11,0.993333333
1921,12,-1.551612903
1922,1,-2.5
1922,2,-2.339285714
1922,3,5.480645161
1922,4,7.956666667
1922,5,14.57419355
1922,6,18.34
1922,7,19.77419355
1922,8,18.83548387
1922,9,12.80333333
1922,10,7.174193548
1922,11,2.176666667
1922,12,1.277419355
1923,1,0.903225806
1923,2,0.017857143
1923,3,4.790322581
1923,4,8.26
1923,5,15.62258065
1923,6,14.36666667
1923,7,19.7
1923,8,18.54516129
1923,9,14.75666667
1923,10,11.97096774
1923,11,5.18
1923,12,0.232258065
1924,1,-2.967741935
1924,2,-2.644827586
1924,3,3.393548387
1924,4,8.776666667
1924,5,16.12903226
1924,6,17.20333333
1924,7,19.2
1924,8,16.62258065
1924,9,15.48666667
1924,10,9.929032258
1924,11,2.54
1924,12,-0.358064516
1925,1,-0.283870968
1925,2,4.1
1925,3,3.467741935
1925,4,9.416666667
1925,5,15.33870968
1925,6,16.14666667
1925,7,19.31612903
1925,8,18.26129032
1925,9,13.28666667
1925,10,9.312903226
1925,11,4.013333333
1925,12,-2.474193548
1926,1,-2.15483871
1926,2,4.617857143
1926,3,4.587096774
1926,4,10.34666667
1926,5,13.71612903
1926,6,16.17666667
1926,7,18.28387097
1926,8,17.35483871
1926,9,15.58666667
1926,10,10.08387097
1926,11,9.646666667
1926,12,0.622580645
1927,1,1.590322581
1927,2,0.35
1927,3,6.5
1927,4,9.413333333
1927,5,13.51290323
1927,6,18.48333333
1927,7,19.94516129
1927,8,19.11290323
1927,9,15.89
1927,10,9.396774194
1927,11,4.636666667
1927,12,-2.635483871
1928,1,-0.793548387
1928,2,1.193103448
1928,3,3.041935484
1928,4,10.49
1928,5,11.89354839
1928,6,16.94333333
1928,7,21.71612903
1928,8,20.01935484
1928,9,14.75
1928,10,9.94516129
1928,11,6.766666667
1928,12,-0.322580645
1929,1,-6.080645161
1929,2,-10.32142857
1929,3,2.174193548
1929,4,6.386666667
1929,5,15.27096774
1929,6,16.86
1929,7,19.99032258
1929,8,20.43870968
1929,9,16.45333333
1929,10,11.39354839
1929,11,6.23
1929,12,2.374193548
1930,1,-0.103225806
1930,2,-0.139285714
1930,3,5.851612903
1930,4,10.31
1930,5,13.79354839
1930,6,19.6
1930,7,19.23870968
1930,8,18.02258065
1930,9,16.04666667
1930,10,9.806451613
1930,11,6.563333333
1930,12,0.309677419
1931,1,-0.061290323
1931,2,-0.260714286
1931,3,0.477419355
1931,4,7.13
1931,5,16.79032258
1931,6,19.45666667
1931,7,20.53548387
1931,8,18.05806452
1931,9,11.62333333
1931,10,8.348387097
1931,11,3.676666667
1931,12,-1.441935484
1932,1,-0.470967742
1932,2,-3.668965517
1932,3,0.032258065
1932,4,9.33
1932,5,15.05806452
1932,6,16.97333333
1932,7,21.55806452
1932,8,21.26451613
1932,9,18.48
1932,10,10.3516129
1932,11,4.163333333
1932,12,-0.077419355
1933,1,-3.567741935
1933,2,0.039285714
1933,3,5.1
1933,4,7.82
1933,5,13.17741935
1933,6,14.98333333
1933,7,19.30967742
1933,8,19.05483871
1933,9,14.26666667
1933,10,9.712903226
1933,11,4
1933,12,-5.04516129
1934,1,-0.941935484
1934,2,0.910714286
1934,3,7.235483871
1934,4,12.48666667
1934,5,16.23225806
1934,6,17.32666667
1934,7,20.36451613
1934,8,18.7516129
1934,9,16.19666667
1934,10,9.919354839
1934,11,5.61
1934,12,5.012903226
1935,1,-3.209677419
1935,2,0.975
1935,3,2.574193548
1935,4,9.226666667
1935,5,12.00967742
1935,6,19.41333333
1935,7,19.77419355
1935,8,18.83548387
1935,9,14.67333333
1935,10,11.89677419
1935,11,4.76
1935,12,0.35483871
1936,1,4.05483871
1936,2,1.572413793
1936,3,6.641935484
1936,4,9.456666667
1936,5,14.93870968
1936,6,17.51
1936,7,20.80645161
1936,8,17.77419355
1936,9,14.58
1936,10,6.219354839
1936,11,3.916666667
1936,12,0.2
1937,1,-3.5
1937,2,1.860714286
1937,3,6.093548387
1937,4,9.226666667
1937,5,16.2
1937,6,19
1937,7,19.55806452
1937,8,18.80967742
1937,9,15.10333333
1937,10,10.4
1937,11,4.293333333
1937,12,-0.183870968
1938,1,-0.625806452
1938,2,1.339285714
1938,3,7.54516129
1938,4,6.203333333
1938,5,12.60645161
1938,6,19.12666667
1938,7,20.2
1938,8,19.0483871
1938,9,14.01333333
1938,10,10.93548387
1938,11,5.973333333
1938,12,-1.593548387
1939,1,0.967741935
1939,2,2.032142857
1939,3,2.016129032
1939,4,12.48666667
1939,5,13.26129032
1939,6,17.90333333
1939,7,20.27419355
1939,8,19.70645161
1939,9,14.43
1939,10,8.719354839
1939,11,4.953333333
1939,12,-1.703225806
1940,1,-8.361290323
1940,2,-6.017241379
1940,3,2.606451613
1940,4,9.736666667
1940,5,12.79677419
1940,6,17.6
1940,7,18.60645161
1940,8,16.04193548
1940,9,14.74666667
1940,10,9.106451613
1940,11,6.486666667
1940,12,-4.45483871
1941,1,-4.093548387
1941,2,0.125
1941,3,5.148387097
1941,4,8.376666667
1941,5,11.35483871
1941,6,17.49
1941,7,19.2
1941,8,17.49677419
1941,9,13.07666667
1941,10,8.883870968
1941,11,1.123333333
1941,12,0.009677419
1942,1,-8.777419355
1942,2,-3.828571429
1942,3,1.912903226
1942,4,8.21
1942,5,14.6483871
1942,6,17.53666667
1942,7,18.3483871
1942,8,19.21612903
1942,9,18.31666667
1942,10,12.19032258
1942,11,3.633333333
1942,12,2.022580645
1943,1,-5.370967742
1943,2,2.767857143
1943,3,5.383870968
1943,4,11.48
1943,5,13.78709677
1943,6,16.37333333
1943,7,19.30322581
1943,8,21.1516129
1943,9,16.93333333
1943,10,11.24516129
1943,11,3.413333333
1943,12,1.222580645
1944,1,2.422580645
1944,2,-0.431034483
1944,3,1.667741935
1944,4,10.49666667
1944,5,13.07419355
1944,6,16.43333333
1944,7,19.3516129
1944,8,20.73548387
1944,9,14.2
1944,10,10.76774194
1944,11,4.333333333
1944,12,-0.648387097
1945,1,-5.232258065
1945,2,1.985714286
1945,3,6.612903226
1945,4,10.81333333
1945,5,16.21612903
1945,6,19.20333333
1945,7,20.99032258
1945,8,19.26451613
1945,9,15.22333333
1945,10,9.703225806
1945,11,4.33
1945,12,1.635483871
1946,1,-3.503225806
1946,2,2.875
1946,3,6.183870968
1946,4,12.05
1946,5,17.29677419
1946,6,19.20333333
1946,7,21.33870968
1946,8,20.61612903
1946,9,16.59333333
1946,10,6.925806452
1946,11,4.356666667
1946,12,-1.761290323
1947,1,-6.041935484
1947,2,-3.860714286
1947,3,4.964516129
1947,4,12.36333333
1947,5,15.9483871
1947,6,19.52333333
1947,7,21
1947,8,20.05806452
1947,9,18.64333333
1947,10,8.025806452
1947,11,6.47
1947,12,1.974193548
1948,1,2.541935484
1948,2,-0.037931034
1948,3,5.541935484
1948,4,11.39333333
1948,5,16.79032258
1948,6,17.21
1948,7,18.07419355
1948,8,18.78387097
1948,9,15.59
1948,10,10.44516129
1948,11,4.2
1948,12,-2.05483871
1949,1,1.506451613
1949,2,1.285714286
1949,3,2.351612903
1949,4,11.49666667
1949,5,14.93870968
1949,6,16.26333333
1949,7,19.61290323
1949,8,18.30967742
1949,9,16.74666667
1949,10,11.21612903
1949,11,5.873333333
1949,12,2.119354839
1950,1,-4.34516129
1950,2,1.389285714
1950,3,6.203225806
1950,4,10.06666667
1950,5,16.51290323
1950,6,19.44666667
1950,7,22.13225806
1950,8,20.58709677
1950,9,15.73333333
1950,10,8.106451613
1950,11,5.273333333
1950,12,0.887096774
1951,1,0.896774194
1951,2,3.432142857
1951,3,4.151612903
1951,4,9.806666667
1951,5,13.97096774
1951,6,17.86333333
1951,7,19.49677419
1951,8,20.34516129
1951,9,16.91
1951,10,7.958064516
1951,11,7.46
1951,12,1.406451613
1952,1,-1.112903226
1952,2,-0.962068966
1952,3,1.95483871
1952,4,12.31666667
1952,5,13.74193548
1952,6,17.84333333
1952,7,21.4516129
1952,8,21.62903226
1952,9,13.06666667
1952,10,9.090322581
1952,11,2.66
1952,12,-0.612903226
1953,1,-1.425806452
1953,2,0.567857143
1953,3,3.993548387
1953,4,10.42333333
1953,5,13.92903226
1953,6,18.22333333
1953,7,20.67419355
1953,8,17.82580645
1953,9,15.75
1953,10,11.15806452
1953,11,2.943333333
1953,12,-0.041935484
1954,1,-5.838709677
1954,2,-6.789285714
1954,3,5.219354839
1954,4,7.176666667
1954,5,13.56774194
1954,6,18.71333333
1954,7,17.28064516
1954,8,18.51935484
1954,9,15.82
1954,10,9.316129032
1954,11,3.33
1954,12,2.925806452
1955,1,-1.896774194
1955,2,-0.171428571
1955,3,1.141935484
1955,4,7.443333333
1955,5,12.89677419
1955,6,16.69666667
1955,7,19.14516129
1955,8,17.81612903
1955,9,14.69666667
1955,10,9.14516129
1955,11,4.063333333
1955,12,1.677419355
1956,1,-0.064516129
1956,2,-9.562068966
1956,3,0.932258065
1956,4,8.433333333
1956,5,14.08387097
1956,6,16.10666667
1956,7,19.18387097
1956,8,18.09354839
1956,9,14.87333333
1956,10,8.996774194
1956,11,1.633333333
1956,12,-0.687096774
1957,1,-3.509677419
1957,2,3.1
1957,3,6.125806452
1957,4,9.083333333
1957,5,11.65806452
1957,6,19.60666667
1957,7,20.09354839
1957,8,17.43225806
1957,9,13.66666667
1957,10,8.8
1957,11,5.533333333
1957,12,0.306451613
1958,1,-2.390322581
1958,2,2.625
1958,3,0.283870968
